Frequency (Hz),Channel 1 Magnitude (dB)
5,0.4996444050444967
5.649113549127112,0.6381030702301947
6.382496778186314,0.8214783229922719
7.211089805382489,1.062235779338726
8.14725302471172,1.385777721005169
9.204951490013183,1.820378048171435
10.39996323625825,2.426769327582231
11.75011464567409,3.286862977672341
13.27554636973486,4.558475461103725
14.99901377386691,6.309721286420615
16.94622638669915,7.688201293969666
19.14623141753551,7.583372031760542
21.63184706310465,4.99230181966716
24.440152067366,1.698460906582067
27.6130388372969,-1.354452892864365
31.19783836566941,-4.218401764520562
35.24802628299614,-6.932528240093508
39.82402057105249,-9.533597335573132
44.99408283772978,-12.04547092330553
50.8353365978335,-14.51059155202787
57.43491774985171,-16.90976577167698
64.89127441073784,-19.25237713639644
73.31563549876489,-21.5719417828789
82.83366997178747,-23.86868563182624
93.58736147230982,-26.08862000269114
105.7371263440564,-28.27921745785751
119.464206615195,-30.1676630125995
134.9733736451237,-31.8651324617877
152.4959827660131,-32.82055682799356
172.293424486188,-33.32435288493676
194.6610237380868,-33.29039371006908
219.9324453371561,-33.02593272841136
248.4846713693576,-32.63045489765351
280.7436247566074,-32.28110815778674
317.1905228887219,-31.96583399354634
358.3690561010781,-31.64615920658196
404.8934980816993,-31.48695606994934
457.4578691933604,-31.39010918706436
516.8462894030059,-31.23836032372473
583.9446752565193,-31.19136985143392
659.7539553864475,-31.05864795519885
745.4050016927561,-30.97691905646025
842.175498929934,-30.91179968561088
951.5090043495959,-30.81575017265684
1075.036481717551,-30.83403699624706
1214.600630935312,-30.8442435126896
1372.283376199003,-30.81880505594444
1550.436922745538,-30.75848091241823
1751.718845469755,-30.68188114470306
1979.131732840898,-30.54747508243423
2236.06797749979,-30.47287569748365
2526.360381692667,-30.39561796831768
2854.339332439597,-30.35826946418757
3224.897399338195,-30.2558813744504
3643.56231862924,-30.21924357577965
4116.579452251492,-30.41206900027877
4651.004951954432,-30.50075836083149
5254.811018228615,-30.72109220653699
5937.004824235546,-30.80802956826861
6707.762878764409,-31.09276061270844
7578.582832551988,-31.17345742476644
8562.45499251032,-31.10382157078069
9674.056102396235,-31.21088811908441
10929.96828061248,-31.33593208490215
12348.92638110751,-31.07875920253729
13952.09746733755,-30.9970656552877
15763.39656829573,-31.03997047224552
17809.84342684466,-31.00401619022812
20121.96556208413,-30.62347036138801
22734.25365836771,-30.64948188775654
25685.67607415555,-30.69203723419335
29020.26014580045,-30.49297586836365
32787.748957767,-30.39887635167059
37044.34337654,-30.46256613056002
41853.5404173859,-30.29448442885641
47287.08045015879,-30.40963305585221
53426.01737393119,-30.09994199785671
60361.92772459508,-29.58454790323395
68198.27675208834,-29.43458957418614
77051.96184546863,-29.21731780325859
87055.05632961245,-28.91326645888153
98356.77964632762,-28.68484139537804
111125.7233097157,-28.5001800904198
125552.3658410932,-28.15539720465949
141851.9141995768,-28.15626230627363
160267.5140948893,-28.2145154535704
181073.8770716721,-27.87865042572998
204581.3784717121,-28.1069751278635
231140.6874047302,-27.924323780168
261147.9977945233,-28.27841641467271
295050.9385336919,-28.05052600222614
333355.2509106703,-28.25320725645632
376632.3329184273,-28.5107018794263
425527.7629857684,-28.66793544308304
480770.9302825306,-28.92921472976529
543185.9152570983,-29.4692663850466
613703.7827147775,-29.59045134375367
693376.4708169225,-30.24539499409222
783392.483187564,-30.38229357831646
885094.6182118406,-30.7472022563942
1000000,-31.0940838816725
