unknown_136,timestamp,heart_rate,unknown_143,unknown_135,unknown_116,unknown_134,unknown_108
58,2024-02-29 08:54:16,58,69,23,2100,,
62,2024-02-29 08:54:17,62,69,15,2100,,
62,2024-02-29 08:54:18,62,69,15,2100,,
63,2024-02-29 08:54:19,63,69,18,2100,,
63,2024-02-29 08:54:20,63,69,18,2100,,
63,2024-02-29 08:54:21,63,69,18,1700,,
63,2024-02-29 08:54:22,63,69,18,1700,,
63,2024-02-29 08:54:23,63,69,18,1700,,
61,2024-02-29 08:54:24,61,69,6,1700,,
62,2024-02-29 08:54:25,62,69,4,1700,,
63,2024-02-29 08:54:26,63,69,3,1400,,
64,2024-02-29 08:54:27,64,69,3,1400,,
66,2024-02-29 08:54:28,66,69,1,1400,,
65,2024-02-29 08:54:29,65,69,1,1400,,
65,2024-02-29 08:54:30,65,69,1,1400,,
65,2024-02-29 08:54:31,65,69,1,1000,,
64,2024-02-29 08:54:32,64,69,4,1000,,
64,2024-02-29 08:54:33,64,69,4,1000,,
63,2024-02-29 08:54:34,63,69,3,1000,,
63,2024-02-29 08:54:35,63,69,3,1000,,
64,2024-02-29 08:54:36,64,69,4,800,,
64,2024-02-29 08:54:37,64,69,4,800,,
64,2024-02-29 08:54:38,64,69,4,800,,
63,2024-02-29 08:54:39,63,69,10,800,,
64,2024-02-29 08:54:40,64,69,10,800,,
64,2024-02-29 08:54:41,64,69,10,900,,
62,2024-02-29 08:54:42,62,69,5,900,,
60,2024-02-29 08:54:43,60,69,3,900,,
60,2024-02-29 08:54:44,60,69,3,900,,
60,2024-02-29 08:54:45,60,69,3,900,,
60,2024-02-29 08:54:46,60,69,3,900,,
59,2024-02-29 08:54:47,59,69,2,900,,
59,2024-02-29 08:54:48,59,69,2,900,,
59,2024-02-29 08:54:49,59,69,2,900,,
59,2024-02-29 08:54:50,59,69,2,900,,
59,2024-02-29 08:54:51,59,69,2,2100,,
59,2024-02-29 08:54:52,59,69,2,2100,,
59,2024-02-29 08:54:53,59,69,2,2100,,
60,2024-02-29 08:54:54,60,69,1,2100,,
60,2024-02-29 08:54:55,60,69,1,2100,,
