unknown_135,unknown_136,unknown_108,unknown_116,unknown_134,unknown_143,timestamp,heart_rate
52,70,,3000,,79,2024-02-29 07:40:07,70
52,70,,3000,,79,2024-02-29 07:40:08,70
52,70,,3000,,79,2024-02-29 07:40:09,70
32,69,,3000,,79,2024-02-29 07:40:10,69
32,69,,3000,,79,2024-02-29 07:40:11,69
10,68,,3000,,79,2024-02-29 07:40:12,68
10,68,,3000,,79,2024-02-29 07:40:13,68
10,68,,3000,,79,2024-02-29 07:40:14,68
10,68,,3000,,79,2024-02-29 07:40:15,68
10,68,,3000,,79,2024-02-29 07:40:16,68
10,68,,3000,,79,2024-02-29 07:40:17,68
10,68,,3000,,79,2024-02-29 07:40:18,68
10,68,,3000,,79,2024-02-29 07:40:19,68
10,68,,3000,,79,2024-02-29 07:40:20,68
10,68,,3000,,79,2024-02-29 07:40:21,68
10,68,,3000,,79,2024-02-29 07:40:22,68
10,68,,3000,,79,2024-02-29 07:40:23,68
10,68,,3000,,79,2024-02-29 07:40:24,68
10,68,,3000,,79,2024-02-29 07:40:25,68
10,68,,3000,,79,2024-02-29 07:40:26,68
10,68,,3000,,79,2024-02-29 07:40:27,68
28,69,,3000,,79,2024-02-29 07:40:28,69
28,69,,3000,,79,2024-02-29 07:40:29,69
30,70,,3000,,79,2024-02-29 07:40:30,70
30,70,,3000,,79,2024-02-29 07:40:31,70
34,71,,3000,,79,2024-02-29 07:40:32,71
34,71,,3000,,79,2024-02-29 07:40:33,71
33,72,,3000,,79,2024-02-29 07:40:34,72
27,73,,3000,,79,2024-02-29 07:40:35,73
23,74,,3100,,79,2024-02-29 07:40:36,74
23,74,,3100,,79,2024-02-29 07:40:37,74
23,75,,3100,,79,2024-02-29 07:40:38,75
23,75,,3100,,79,2024-02-29 07:40:39,75
24,76,,3100,,79,2024-02-29 07:40:40,76
24,76,,3300,,79,2024-02-29 07:40:41,76
24,76,1192,3300,,79,2024-02-29 07:40:42,76
24,76,1192,3300,,79,2024-02-29 07:40:43,76
28,78,1192,3300,,79,2024-02-29 07:40:44,78
25,81,1192,3300,,79,2024-02-29 07:40:45,81
16,86,1192,3500,,79,2024-02-29 07:40:46,86
11,89,1192,3500,,79,2024-02-29 07:40:47,89
11,89,1192,3500,,79,2024-02-29 07:40:48,89
15,90,1197,3500,,79,2024-02-29 07:40:49,90
19,91,1197,3500,,79,2024-02-29 07:40:50,91
19,91,1197,3600,,79,2024-02-29 07:40:51,91
29,92,1197,3600,,79,2024-02-29 07:40:52,92
29,92,1197,3600,,79,2024-02-29 07:40:53,92
29,92,1198,3600,,79,2024-02-29 07:40:54,92
51,91,1209,3600,,79,2024-02-29 07:40:55,91
55,90,1209,3600,,79,2024-02-29 07:40:56,90
60,89,1209,3600,,79,2024-02-29 07:40:57,89
63,90,1219,3600,,79,2024-02-29 07:40:58,90
63,90,1219,3600,,79,2024-02-29 07:40:59,90
68,91,1219,3600,,79,2024-02-29 07:41:00,91
68,91,1232,3800,,79,2024-02-29 07:41:01,91
68,91,1232,3800,,79,2024-02-29 07:41:02,91
78,92,1232,3800,,79,2024-02-29 07:41:03,92
78,92,1240,3800,,79,2024-02-29 07:41:04,92
78,92,1240,3800,,79,2024-02-29 07:41:05,92
